date,area,condition,cases,population,risk_factor,latitude,longitude,is_outbreak,month,day_of_week,rainfall
2023-06-23,CITE_SOLEIL,cholera,10,300000,0.9,18.5944,-72.3074,False,6,4,1.188875594066785
2023-06-23,CITE_SOLEIL,malnutrition,24,300000,0.9,18.5944,-72.3074,False,6,4,12.173772137019789
2023-06-23,CITE_SOLEIL,fever,48,300000,0.9,18.5944,-72.3074,True,6,4,10.21893331239333
2023-06-23,CITE_SOLEIL,diarrhea,44,300000,0.9,18.5944,-72.3074,True,6,4,16.85136038594464
2023-06-23,CITE_SOLEIL,respiratory,15,300000,0.9,18.5944,-72.3074,False,6,4,30.511517865136362
2023-06-23,DELMAS,cholera,17,500000,0.6,18.5483,-72.3074,True,6,4,0.5926114267324589
2023-06-23,DELMAS,malnutrition,24,500000,0.6,18.5483,-72.3074,False,6,4,36.07882901064022
2023-06-23,DELMAS,fever,52,500000,0.6,18.5483,-72.3074,True,6,4,13.616503253415841
2023-06-23,DELMAS,diarrhea,39,500000,0.6,18.5483,-72.3074,True,6,4,34.59431099287847
2023-06-23,DELMAS,respiratory,35,500000,0.6,18.5483,-72.3074,True,6,4,20.80758468878441
2023-06-23,TABARRE,cholera,7,250000,0.4,18.5736,-72.2928,False,6,4,45.40902451932015
2023-06-23,TABARRE,malnutrition,8,250000,0.4,18.5736,-72.2928,False,6,4,31.971722419545014
2023-06-23,TABARRE,fever,16,250000,0.4,18.5736,-72.2928,False,6,4,13.430111368274794
2023-06-23,TABARRE,diarrhea,11,250000,0.4,18.5736,-72.2928,False,6,4,2.3840175813830466
2023-06-23,TABARRE,respiratory,8,250000,0.4,18.5736,-72.2928,False,6,4,39.987050701266625
2023-06-23,MARTISSANT,cholera,11,200000,0.8,18.5089,-72.3444,False,6,4,1.8762135593875129
2023-06-23,MARTISSANT,malnutrition,20,200000,0.8,18.5089,-72.3444,False,6,4,33.704931691435675
2023-06-23,MARTISSANT,fever,24,200000,0.8,18.5089,-72.3444,False,6,4,45.59860561936134
2023-06-23,MARTISSANT,diarrhea,19,200000,0.8,18.5089,-72.3444,False,6,4,37.69777110984662
2023-06-23,MARTISSANT,respiratory,16,200000,0.8,18.5089,-72.3444,False,6,4,27.227643481386693
2023-06-23,CARREFOUR,cholera,12,450000,0.7,18.5413,-72.3979,False,6,4,44.70430689411062
2023-06-23,CARREFOUR,malnutrition,22,450000,0.7,18.5413,-72.3979,False,6,4,37.35512024257989
2023-06-23,CARREFOUR,fever,50,450000,0.7,18.5413,-72.3979,True,6,4,23.30988846435892
2023-06-23,CARREFOUR,diarrhea,48,450000,0.7,18.5413,-72.3979,True,6,4,29.37926930950191
2023-06-23,CARREFOUR,respiratory,32,450000,0.7,18.5413,-72.3979,True,6,4,25.3502426323332
2023-06-23,PETIONVILLE,cholera,7,350000,0.3,18.5125,-72.2853,False,6,4,0.44101065648802784
2023-06-23,PETIONVILLE,malnutrition,6,350000,0.3,18.5125,-72.2853,False,6,4,23.744922487809212
2023-06-23,PETIONVILLE,fever,23,350000,0.3,18.5125,-72.2853,False,6,4,22.18246918248018
2023-06-23,PETIONVILLE,diarrhea,24,350000,0.3,18.5125,-72.2853,False,6,4,43.162584891669056
2023-06-23,PETIONVILLE,respiratory,4,350000,0.3,18.5125,-72.2853,False,6,4,6.441930310417482
2023-06-23,CROIX_DES_BOUQUETS,cholera,3,180000,0.5,18.5792,-72.2261,False,6,4,46.014855956340796
2023-06-23,CROIX_DES_BOUQUETS,malnutrition,10,180000,0.5,18.5792,-72.2261,False,6,4,7.124280666006749
2023-06-23,CROIX_DES_BOUQUETS,fever,11,180000,0.5,18.5792,-72.2261,False,6,4,35.928922811429985
2023-06-23,CROIX_DES_BOUQUETS,diarrhea,19,180000,0.5,18.5792,-72.2261,False,6,4,37.24589027823893
2023-06-23,CROIX_DES_BOUQUETS,respiratory,9,180000,0.5,18.5792,-72.2261,False,6,4,42.120547464245234
2023-06-23,PORT_AU_PRINCE,cholera,49,1200000,0.8,18.5944,-72.3074,True,6,4,13.596041499387995
2023-06-23,PORT_AU_PRINCE,malnutrition,110,1200000,0.8,18.5944,-72.3074,True,6,4,6.235767749129789
2023-06-23,PORT_AU_PRINCE,fever,133,1200000,0.8,18.5944,-72.3074,True,6,4,17.955748970527814
2023-06-23,PORT_AU_PRINCE,diarrhea,134,1200000,0.8,18.5944,-72.3074,True,6,4,12.854775028468858
2023-06-23,PORT_AU_PRINCE,respiratory,355,1200000,0.8,18.5944,-72.3074,True,6,4,29.143242036593662
2023-06-24,CITE_SOLEIL,cholera,15,300000,0.9,18.5944,-72.3074,True,6,5,39.71356424631829
2023-06-24,CITE_SOLEIL,malnutrition,25,300000,0.9,18.5944,-72.3074,True,6,5,1.346935297770574
2023-06-24,CITE_SOLEIL,fever,44,300000,0.9,18.5944,-72.3074,True,6,5,18.219667755630237
2023-06-24,CITE_SOLEIL,diarrhea,127,300000,0.9,18.5944,-72.3074,True,6,5,10.066173514181914
